코드,설명,리스크레벨
K145,다중채무자 중 HMDS 하위고객,
K341,최근1개월 리볼빙 3개 기관이상 이용,
K342,(사업자대출) 대출건수 3건 이상,
K343,최근 3개월 저축은행권 미상환 대출 1건이상,
K347,최근 1개월내 대출 취급건수 3건 이상,
K348,SPS급/DEP2등급 하위자,
K351,KCB 통합 R스코어 6등급 하위,
K352,NICE 과다채무지수 05등급 중 NICE TIPS등급 하위,
K353,NICE TIPS 등급 하위,
K354,KCB I-INDEX 등급 하위,
K355,레벨1-5 제외 미해지 대출기관수 3건 이상(대부정보 반영),
K357,그룹 다중채무 세그먼트 등급 4등급,
K360,KCB 소호M1 제외대상,
K361,KCB 비대면 우수지수 제외대상,
K362,개인사업자 건전성 하위,
K363,신용정보 부족 이상자,
K364,신청등급 하위,
K365,다중채무위험등급 하위,
K366,비대면연계대출등급 하위,
K370,결합등급 하위고객 중 KCB신용평점 하위고객,
K372,KBGS 등급 하위,
K373,니어프라임ML등급 하위,
K374,중위등급세분화모형 하위 고위험 차주,
K402,이지신용 비대상자,
K502,NICE 또는 KCB 미해제 연체중인 고객,
K507,NICE CB 변경 594점 이하 또는 KCB CB변경 534점 이하 고객,
K707,가계부채 관리대상 연소득 초과 취급 감액,
